[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/srsly/ruamel_yaml/composer.py first seen with mtime 1639175003.7753837
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/thinc/layers/softmax.py first seen with mtime 1639175004.2667997
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/core/checks/security/base.py first seen with mtime 1647540508.0428581
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/forms/renderers.py first seen with mtime 1647540508.073456
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/db/__init__.py first seen with mtime 1647540508.0526762
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/core/management/color.py first seen with mtime 1647540508.047122
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/contrib/messages/constants.py first seen with mtime 1647540507.9110472
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/pyparsing/util.py first seen with mtime 1639175003.9340844
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/thinc/layers/sparselinear.cpython-39-darwin.so first seen with mtime 1639175004.2679482
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/core/handlers/__init__.py first seen with mtime 1647540508.0445788
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/utils/__init__.py first seen with mtime 1647540508.0948744
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/contrib/auth/__init__.py first seen with mtime 1647540507.7188766
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/thinc/layers/reduce_first.py first seen with mtime 1639175004.2652345
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/asgiref/current_thread_executor.py first seen with mtime 1638393492.3032167
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/lib-dynload/array.cpython-39-darwin.so first seen with mtime 1620062639.0
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/thinc/backends/ops.py first seen with mtime 1639175004.2597203
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/spacy/glossary.py first seen with mtime 1639177569.6089256
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/db/backends/sqlite3/creation.py first seen with mtime 1647540508.0604043
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/core/paginator.py first seen with mtime 1647540508.0389612
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/pydantic/tools.cpython-39-darwin.so first seen with mtime 1639175003.9807942
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/numpy/core/_add_newdocs.py first seen with mtime 1639175002.3029568
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/thinc/layers/ragged2list.py first seen with mtime 1639175004.265108
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/bz2.py first seen with mtime 1620062241.0
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/spacy/pipeline/_parser_internals/nonproj.cpython-39-darwin.so first seen with mtime 1639177569.7179892
